"SiteName","date","title","link","error"
"Apache Tomcat 11 Security Advisories","","","","Invalid date format"
"Apache Tomcat 10 Security Advisories","","","","Invalid date format"
"Apache Tomcat 9 Security Advisories","","","","Invalid date format"
"PHP Security Releases","2025/12/18","PHP 8.1.34 Released!","https://www.php.net/archive/2025.php#2025-12-18-5",""
"Adobe Acrobat and Reader","2026/03/10","APSB26-05 : Security update available for Adobe Commerce","https://helpx.adobe.com/security/products/magento/apsb26-05.html",""
"SAP","2026/03/10","March Patch Day Security Notes","https://support.sap.com/en/my-support/knowledge-base/security-notes-news/march-2026.html",""
"Broadcom Symantec","","","","Failed to install ChromeDriver: No file has been saved on such path /home/runner/.wdm/drivers/chromedriver/linux64/145.0.7632.117/chromedriver-linux64.zip"
"Citrix","","","","Failed to install ChromeDriver: No file has been saved on such path /home/runner/.wdm/drivers/chromedriver/linux64/145.0.7632.117/chromedriver-linux64.zip"
"Cisco Webex Security Advisories","2025/09/03","Cisco Webex Meetings URLリダイレクションの脆弱性","https://www.cisco.com/c/ja_jp/support/docs/csa/2025/cisco-sa-webex-urlredirect-uK8dDJSZ.html",""
"Broadcom VMware","","","","File is not a zip file"
"Aruba","2026/03/12","HPESBHF05024 rev.1 - HPE Compute Scale-up Server 3200 Platform Using Certain Intel Processors, INTEL-SA-01396, 2026.1 IPU, Intel Processor Firmware Advisory, Local Escalation of Privilege Vulnerability","https://support.hpe.com/hpesc/public/docDisplay?docId=hpesbhf05024en_us&docLocale=en_US",""
"Zoom Security Bulletin","2026/03/10","Zoom Workplace for Windows - External Control of File Name or Path","https://www.zoom.com/ja/trust/security-bulletin/ZSB-26005/",""
"SKYSEA Client View","2025/11/14","ASP.NET Coreの脆弱性（CVE-2025-55315）に関する注意喚起","https://www.skygroup.jp/security-info/news/251114.html",""
"BarracudaAdvisories","2025/12/10","RCE Vulnerabilities in Barracuda RMM Service Center – Hotfix Available","https://trust.barracuda.com/security/information/rce-vulnerabilities-barracuda-rmm-service-center-hotfix-availabile",""
"Mozilla Security Advisories","2026/03/10","MFSA 2026-19 Security Vulnerabilities fixed in Firefox 148.0.2","https://www.mozilla.org/en-US/security/advisories/mfsa2026-19/",""
"FFRI Security Info","2024/07/29","【重要】FFRI AMCにおける任意のコマンド実行可能な脆弱性について","https://www.ffri.jp/assets/files/other_docs/20240729.pdf",""
"Microsoft Edge Security Updates","","","","Invalid date format"
"Microsoft Edge","2026/03/12","CVE-2026-26133 M365 Copilot Information Disclosure Vulnerability","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-26133",""
"TrendMicro Apex One","2026/03/02","[一般ニュース]一部のプレミアムサポート(有償サポート)向けの通知メールの配信終了に関するお知らせ:2026/03/02 11:00:00","https://appweb.trendmicro.com/SupportNews/NewsDetail.aspx?id=5669",""
"SonicWall","2026/02/24","SonicOS multiple post-authentication vulnerabilities","https://psirt.global.sonicwall.com/vuln-detail/SNWLID-2026-0001",""
"Palo Alto","2026/03/11","CVE-2026-0231 Cortex XDR Broker VM: Sensitive Information Disclosure Vulnerability (Severity: MEDIUM)","https://security.paloaltonetworks.com/CVE-2026-0231",""
"FORTINET","2026/03/10","Arbitrary file deletion in administrative interface","https://fortiguard.fortinet.com/psirt/FG-IR-26-094",""
"Ivanti","2026/03/10","March 2026 Security Update","https://www.ivanti.com/blog/march-2026-security-update",""
"ShareFile","2026/01/29","Customers can experience issues with left navigation menu and accessing solutions","https://status.sharefile.com/incidents/qd5xb7lrxkkx",""
"Microsoft Teams","2026/03/12","CVE-2026-26133 M365 Copilot Information Disclosure Vulnerability","https://msrc.microsoft.com/update-guide/vulnerability/CVE-2026-26133",""
"WordPress","2026/03/10","WordPress 6.9.2 Release","https://wordpress.org/news/2026/03/wordpress-6-9-2-release/",""
"Apple","2026/03/11","iOS 16.7.15 and iPadOS 16.7.15","https://support.apple.com/en-us/126646",""
"AtlassianAdvisories","","","","Invalid date format"
"Android OS","","","","Invalid date format"
"Oracle","2026/01/20","Oracle Critical Patch Update Advisory - January 2026","https://www.oracle.com/security-alerts/cpujan2026.html",""
"BIND","2026/03/11","Stork 2.4 and Kea socket permissions","https://kb.isc.org/docs/stork-kea-socket-perms",""
"SolarWinds","","","","Invalid date format"
"QNAP Systems","2026/02/12","Multiple Vulnerabilities in Media Streaming add-on","https://www.qnap.com/en-us/security-advisory/QSA-25-57",""
"CheckPoint","2026/03/12","CPAI-2025-13094","/defense/advisories/public/2026/cpai-2025-13094.html",""
"Proself","2026/03/12","Proself Gateway Editionの操作チュートリアル管理者編を更新しました。","https://www.proself.jp/information/proself-gateway-edition%e3%81%ae%e6%93%8d%e4%bd%9c%e3%83%81%e3%83%a5%e3%83%bc%e3%83%88%e3%83%aa%e3%82%a2%e3%83%ab%e7%ae%a1%e7%90%86%e8%80%85%e7%b7%a8%e3%82%92%e6%9b%b4%e6%96%b0%e3%81%97%e3%81%be-3/",""
"NGINX","2026/03/10","nginx-1.29.6","https://nginx.org/en/download.html",""
"Joomla!","2026/01/06","[20260101] - Core - Inadequate content filtering for data URLs","https://developer.joomla.org/security-centre/1016-20260101-core-inadequate-content-filtering-for-data-urls.html",""
"PHPMailer GitHub","2021/06/16","A validation function with the same name as a built-in validator can be called","https://github.com/PHPMailer/PHPMailer/security/advisories/GHSA-77mr-wc79-m8j3",""
"MovableType","2026/03/09","システムメンテナンスに伴うライセンス購入およびクラウド版のお申し込み停止のお知らせ","https://www.sixapart.jp/movabletype/news/2026/03/09-1100.html",""
"F5","2026/03/11","K000160295: Intel CPU vulnerability CVE-2025-20109","https://my.f5.com/manage/s/article/K000160295?utm_source=f5support&utm_medium=RSS",""
"GNU C Library (glibc) Releases","","","","Invalid date format"
"NTP Release","2024/05/25","4.2.8p18","https://www.ntp.org/support/securitynotice/4_2_8p18-release-announcement/",""
"Postfix","","","","Invalid date format"
"Cisco","2026/03/11","Cisco IOS XR Egress Packet Network Interface Aligner Interrupt Denial of Service Vulnerability","https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-xrncs-epni-int-dos-TWMffUsN",""
"一太郎","","","","Invalid date format"
"ESET","2026/02/18","ESET Customer Advisory: Modules Review, January 2026","https://support-feed.eset.com/link/15370/17278641/ca8919",""
"Juniper","","","","Message: 
"
"netgear","","","","Message: 
"
